object_name,field_name,formula_expression,data_type,is_active,last_modified_date
Account,Custom_Field_1,"IF(Amount > 10000, ""High"", ""Low"")","Text",True,2024-09-13 09:00:00
Contact,Custom_Field_2,"FirstName & "" "" & LastName","Text",True,2024-09-13 09:15:00
Opportunity,Custom_Field_3,"CloseDate - CreatedDate","Number",True,2024-09-13 09:30:00
Lead,Custom_Field_4,"IF(ISPICKVAL(Status, ""Open""), TRUE, FALSE)","Checkbox",True,2024-09-13 09:45:00
Case,Custom_Field_5,"TEXT(Priority)","Text",True,2024-09-13 10:00:00
Task,Custom_Field_6,"IF(IsClosed, ""Completed"", ""Pending"")","Text",True,2024-09-13 10:15:00
Event,Custom_Field_7,"DAY(ActivityDate)","Number",True,2024-09-13 10:30:00
Product2,Custom_Field_8,"UnitPrice * Quantity","Currency",True,2024-09-13 10:45:00
Order,Custom_Field_9,"TotalAmount / 1.1","Currency",True,2024-09-13 11:00:00
Quote,Custom_Field_10,"TEXT(StageName)","Text",True,2024-09-13 11:15:00
