id,_fivetran_synced,_fivetran_active,account_id,amount,campaign_id,close_date,created_date,description,expected_revenue,fiscal,fiscal_quarter,fiscal_year,forecast_category,forecast_category_name,has_open_activity,has_opportunity_line_item,has_overdue_task,is_closed,is_deleted,is_excluded_from_territory_2_filter,is_won,last_activity_date,last_referenced_date,last_viewed_date,lead_source,name,next_step,owner_id,Pricebook2Id,pricebook_2_id,probability,record_type_id,stage_name,synced_quote_id,territory_2_id,type
1,2024-09-06 13:42:15,True,ACCT001,50000,CAMP001,2024-10-15,2024-09-01,"Potential sale of 100 units",45000,FY2024,Q4,2024,"Forecast","Pipeline",True,True,False,False,False,False,False,2024-09-10,2024-09-11 12:00:00,2024-09-12 14:00:00,Web,"Opportunity 1","Follow up with client",USER001,PBOOK001,PBOOK001,90,RT001,Proposal,QUOTE001,TERR001,"New Business"
2,2024-09-07 09:15:30,False,ACCT002,75000,CAMP002,2024-11-20,2024-09-02,"Large enterprise deal",67500,FY2024,Q4,2024,"Best Case","Upside",False,False,True,False,False,False,False,2024-09-11,2024-09-12 13:00:00,2024-09-13 15:00:00,Referral,"Opportunity 2","Schedule demo",USER002,PBOOK002,PBOOK002,80,RT002,Qualification,QUOTE002,TERR002,"Existing Business"
3,2024-09-08 11:22:45,True,ACCT003,30000,CAMP003,2024-09-30,2024-08-28,"Upgrade for current client",27000,FY2024,Q3,2024,"Commit","Most Likely",True,True,False,True,False,False,True,2024-09-09,2024-09-10 11:00:00,2024-09-11 12:30:00,"Trade Show","Opportunity 3","Prepare contract",USER003,PBOOK003,PBOOK003,100,RT003,"Closed Won",QUOTE003,TERR003,"Upsell"
4,2024-09-09 14:50:00,False,ACCT004,60000,CAMP004,2024-12-05,2024-09-05,"New customer acquisition",54000,FY2024,Q4,2024,"Pipeline","Pipeline",False,False,True,False,False,False,False,2024-09-12,2024-09-13 14:00:00,2024-09-14 16:00:00,Advertisement,"Opportunity 4","Client meeting",USER004,PBOOK004,PBOOK004,70,RT001,Qualification,QUOTE004,TERR004,"New Business"
5,2024-09-10 16:05:15,True,ACCT005,85000,CAMP005,2024-11-15,2024-09-03,"International expansion deal",76500,FY2024,Q4,2024,"Best Case","Upside",True,True,False,False,False,False,False,2024-09-11,2024-09-12 13:30:00,2024-09-13 15:30:00,Partner,"Opportunity 5","Finalize terms",USER005,PBOOK005,PBOOK005,85,RT002,Proposal,QUOTE005,TERR005,"New Business"
6,2024-09-11 10:30:45,False,ACCT006,45000,CAMP006,2024-10-25,2024-09-04,"Renewal of annual contract",40500,FY2024,Q4,2024,"Commit","Most Likely",False,False,False,False,False,False,False,2024-09-10,2024-09-11 12:30:00,2024-09-12 14:30:00,Email,"Opportunity 6","Send proposal",USER006,PBOOK006,PBOOK006,75,RT003,Negotiation,QUOTE006,TERR006,Renewal
7,2024-09-12 09:45:00,True,ACCT007,95000,CAMP007,2024-12-20,2024-09-06,"Large scale implementation",85500,FY2024,Q4,2024,"Forecast","Pipeline",True,True,True,False,False,False,False,2024-09-13,2024-09-14 14:00:00,2024-09-15 16:00:00,Conference,"Opportunity 7","Technical evaluation",USER007,PBOOK007,PBOOK007,60,RT001,Proposal,QUOTE007,TERR007,"New Business"
8,2024-09-13 08:15:30,False,ACCT008,120000,CAMP008,2025-01-10,2024-09-07,"Strategic partnership opportunity",108000,FY2025,Q1,2025,"Pipeline","Pipeline",False,False,False,False,False,False,False,2024-09-12,2024-09-13 15:00:00,2024-09-14 17:00:00,"Social Media","Opportunity 8","Discuss MOU",USER008,PBOOK008,PBOOK008,65,RT002,Qualification,QUOTE008,TERR008,Partnership
9,2024-09-13 12:30:00,True,ACCT009,40000,CAMP009,2024-10-05,2024-09-08,"Small business package",36000,FY2024,Q4,2024,"Commit","Most Likely",True,True,False,True,False,False,True,2024-09-09,2024-09-10 11:30:00,2024-09-11 13:00:00,Website,"Opportunity 9","Deliver product",USER009,PBOOK009,PBOOK009,100,RT003,"Closed Won",QUOTE009,TERR009,"New Business"
10,2024-09-14 15:55:15,False,ACCT010,70000,CAMP010,2024-11-30,2024-09-09,"Mid-market expansion",63000,FY2024,Q4,2024,"Best Case","Upside",False,False,True,False,False,False,False,2024-09-13,2024-09-14 14:30:00,2024-09-15 16:30:00,Newsletter,"Opportunity 10","Negotiate pricing",USER010,PBOOK010,PBOOK010,80,RT001,Negotiation,QUOTE010,TERR010,Expansion
