id,_fivetran_synced,_fivetran_active,created_by_id,created_date,description,display_url,external_data_source_id,external_id,family,is_active,is_archived,is_deleted,last_modified_by_id,last_modified_date,last_referenced_date,last_viewed_date,name,number_of_quantity_installments,number_of_revenue_installments,product_code,quantity_installment_period,quantity_schedule_type,quantity_unit_of_measure,record_type_id,revenue_installment_period,revenue_schedule_type,stock_keeping_unit,system_modstamp
1,2024-09-13 09:00:00,True,USER001,2024-09-12 08:00:00,"High-performance laptop","https://example.com/product1",EXT_DS_001,EXT_ID_001,"Electronics",True,False,False,USER001,2024-09-13 09:00:00,2024-09-13 10:00:00,2024-09-13 11:00:00,"Laptop Pro 15",12,12,"LP15","Monthly","Fixed","Units","RTYPE001","Monthly","Fixed","SKU001",2024-09-13 09:00:00
2,2024-09-13 09:15:00,True,USER002,2024-09-12 08:15:00,"Wireless noise-cancelling headphones","https://example.com/product2",EXT_DS_002,EXT_ID_002,"Accessories",True,False,False,USER002,2024-09-13 09:15:00,2024-09-13 10:15:00,2024-09-13 11:15:00,"Headphones Max",0,0,"HM01","","","Pieces","RTYPE002","","","SKU002",2024-09-13 09:15:00
3,2024-09-13 09:30:00,True,USER003,2024-09-12 08:30:00,"4K Ultra HD Smart TV","https://example.com/product3",EXT_DS_003,EXT_ID_003,"Electronics",True,False,False,USER003,2024-09-13 09:30:00,2024-09-13 10:30:00,2024-09-13 11:30:00,"Smart TV 55\"",6,6,"STV55","Quarterly","Recurring","Units","RTYPE003","Quarterly","Recurring","SKU003",2024-09-13 09:30:00
4,2024-09-13 09:45:00,True,USER004,2024-09-12 08:45:00,"Smartphone with advanced camera","https://example.com/product4",EXT_DS_004,EXT_ID_004,"Mobile Devices",True,False,False,USER004,2024-09-13 09:45:00,2024-09-13 10:45:00,2024-09-13 11:45:00,"Smartphone X",0,0,"SPX","","","Each","RTYPE004","","","SKU004",2024-09-13 09:45:00
5,2024-09-13 10:00:00,True,USER005,2024-09-12 09:00:00,"Tablet with stylus support","https://example.com/product5",EXT_DS_005,EXT_ID_005,"Mobile Devices",True,False,False,USER005,2024-09-13 10:00:00,2024-09-13 11:00:00,2024-09-13 12:00:00,"Tablet Pro",12,0,"TP01","Monthly","Fixed","Units","RTYPE005","","","SKU005",2024-09-13 10:00:00
6,2024-09-13 10:15:00,True,USER006,2024-09-12 09:15:00,"Gaming console","https://example.com/product6",EXT_DS_006,EXT_ID_006,"Entertainment",True,False,False,USER006,2024-09-13 10:15:00,2024-09-13 11:15:00,2024-09-13 12:15:00,"GameStation 5",0,0,"GS5","","","Each","RTYPE006","","","SKU006",2024-09-13 10:15:00
7,2024-09-13 10:30:00,True,USER007,2024-09-12 09:30:00,"Wireless router","https://example.com/product7",EXT_DS_007,EXT_ID_007,"Networking",True,False,False,USER007,2024-09-13 10:30:00,2024-09-13 11:30:00,2024-09-13 12:30:00,"Router Pro",0,0,"RP01","","","Units","RTYPE007","","","SKU007",2024-09-13 10:30:00
8,2024-09-13 10:45:00,True,USER008,2024-09-12 09:45:00,"External hard drive 1TB","https://example.com/product8",EXT_DS_008,EXT_ID_008,"Storage",True,False,False,USER008,2024-09-13 10:45:00,2024-09-13 11:45:00,2024-09-13 12:45:00,"Hard Drive 1TB",0,0,"HD1TB","","","Units","RTYPE008","","","SKU008",2024-09-13 10:45:00
9,2024-09-13 11:00:00,True,USER009,2024-09-12 10:00:00,"Office software suite","https://example.com/product9",EXT_DS_009,EXT_ID_009,"Software",True,False,False,USER009,2024-09-13 11:00:00,2024-09-13 12:00:00,2024-09-13 13:00:00,"Office Suite",0,12,"OS2021","","","Licenses","RTYPE009","Monthly","Subscription","SKU009",2024-09-13 11:00:00
10,2024-09-13 11:15:00,True,USER010,2024-09-12 10:15:00,"Antivirus protection software","https://example.com/product10",EXT_DS_010,EXT_ID_010,"Software",True,False,False,USER010,2024-09-13 11:15:00,2024-09-13 12:15:00,2024-09-13 13:15:00,"Antivirus Plus",0,12,"AVP2021","","","Licenses","RTYPE010","Monthly","Subscription","SKU010",2024-09-13 11:15:00
