id,_fivetran_synced,_fivetran_active,account_id,activity_date,call_disposition,call_duration_in_seconds,call_object,call_type,completed_date_time,created_by_id,created_date,description,is_archived,is_closed,is_deleted,is_high_priority,is_recurrence,is_reminder_set,last_modified_by_id,last_modified_date,owner_id,priority,record_type_id,recurrence_activity_id,recurrence_day_of_month,recurrence_day_of_week_mask,recurrence_end_date_only,recurrence_instance,recurrence_interval,recurrence_month_of_year,recurrence_regenerated_type,recurrence_start_date_only,recurrence_time_zone_sid_key,recurrence_type,reminder_date_time,status,subject,system_modstamp,task_subtype,what_count,what_id,who_count,who_id
1,2024-09-13 09:00:00,True,ACCT001,2024-09-15,"Call successful",300,"Call Center 1","Outbound","2024-09-15 09:05:00",USER001,2024-09-13 08:00:00,"Follow-up call with client",False,True,False,True,False,True,USER001,2024-09-13 09:00:00,USER001,"High","RTYPE001","","","","","","","","","","","","","2024-09-15 08:55:00","Completed","Call with John","2024-09-13 09:00:00","Call",0,""
2,2024-09-13 09:15:00,True,ACCT002,2024-09-16,"Left voicemail",120,"Call Center 2","Inbound","2024-09-16 10:20:00",USER002,2024-09-13 08:15:00,"Client did not answer",False,True,False,False,False,False,USER002,2024-09-13 09:15:00,USER002,"Normal","RTYPE002","","","","","","","","","","","","","2024-09-16 10:00:00","Completed","Left voicemail","2024-09-13 09:15:00","Call",0,""
3,2024-09-13 09:30:00,False,ACCT003,2024-09-17,"Meeting scheduled",0,"","Internal","","",USER003,2024-09-13 08:30:00,"Scheduled meeting with team",False,False,False,False,True,True,USER003,2024-09-13 09:30:00,USER003,"Normal","RTYPE003","REC001",17,20,"2024-12-31","First",1,"","After due date","2024-09-17","UTC-5:00","Weekly","2024-09-17 08:00:00","Not Started","Team Meeting","2024-09-13 09:30:00","Meeting",0,""
4,2024-09-13 09:45:00,True,ACCT004,2024-09-18,"Call unsuccessful",180,"Call Center 3","Outbound","2024-09-18 11:30:00",USER004,2024-09-13 08:45:00,"Could not reach client",False,True,False,False,False,False,USER004,2024-09-13 09:45:00,USER004,"High","RTYPE004","","","","","","","","","","","","","2024-09-18 11:00:00","Completed","Attempted Call","2024-09-13 09:45:00","Call",0,""
5,2024-09-13 10:00:00,False,ACCT005,2024-09-19,"Email sent",0,"","Internal","","",USER005,2024-09-13 09:00:00,"Sent proposal to client",False,False,False,False,False,True,USER005,2024-09-13 10:00:00,USER005,"Normal","RTYPE005","","","","","","","","","","","","","2024-09-19 09:00:00","Completed","Send Proposal","2024-09-13 10:00:00","Email",0,""
6,2024-09-13 10:15:00,True,ACCT006,2024-09-20,"Meeting completed",0,"","Internal","2024-09-20 11:00:00",USER006,2024-09-13 09:15:00,"Discussed contract terms",False,True,False,False,False,False,USER006,2024-09-13 10:15:00,USER006,"High","RTYPE006","","","","","","","","","","","","","2024-09-20 10:00:00","Completed","Contract Meeting","2024-09-13 10:15:00","Meeting",0,""
7,2024-09-13 10:30:00,False,ACCT007,2024-09-21,"Call rescheduled",0,"","Outbound","","",USER007,2024-09-13 09:30:00,"Client requested to reschedule",False,False,False,False,False,True,USER007,2024-09-13 10:30:00,USER007,"Normal","RTYPE007","","","","","","","","","","","","","2024-09-21 09:00:00","Not Started","Reschedule Call","2024-09-13 10:30:00","Call",0,""
8,2024-09-13 10:45:00,True,ACCT008,2024-09-22,"Call successful",240,"Call Center 4","Inbound","2024-09-22 14:20:00",USER008,2024-09-13 09:45:00,"Answered client questions",False,True,False,True,False,True,USER008,2024-09-13 10:45:00,USER008,"High","RTYPE008","","","","","","","","","","","","","2024-09-22 14:00:00","Completed","Client Support Call","2024-09-13 10:45:00","Call",0,""
9,2024-09-13 11:00:00,False,ACCT009,2024-09-23,"Email bounced",0,"","Internal","","",USER009,2024-09-13 10:00:00,"Email could not be delivered",False,False,False,False,False,False,USER009,2024-09-13 11:00:00,USER009,"Normal","RTYPE009","","","","","","","","","","","","","2024-09-23 09:00:00","Completed","Email Follow-up","2024-09-13 11:00:00","Email",0,""
10,2024-09-13 11:15:00,True,ACCT010,2024-09-24,"Call transferred",60,"Call Center 5","Inbound","2024-09-24 15:10:00",USER010,2024-09-13 10:15:00,"Transferred client to support",False,True,False,False,False,False,USER010,2024-09-13 11:15:00,USER010,"Normal","RTYPE010","","","","","","","","","","","","","2024-09-24 15:00:00","Completed","Transfer Call","2024-09-13 11:15:00","Call",0,""
